User Role,originatorName,USER ID/EUI64,DUIS Version,Environment
IS1,70-B3-D5-1F-31-AA-04-27_IS1_DUIS5.0,70-B3-D5-1F-31-AA-04-27,5.0,UIT-B
IS2,70-B3-D5-1F-31-AA-04-28_IS2_DUIS5.0,70-B3-D5-1F-31-AA-04-28,5.0,UIT-B
ES,70-B3-D5-1F-31-AA-04-29_ES_DUIS5.0,70-B3-D5-1F-31-AA-04-29,5.0,UIT-B
GS1,70-B3-D5-1F-31-AA-04-30_GS1_DUIS5.0,70-B3-D5-1F-31-AA-04-30,5.0,UIT-B
GS2,70-B3-D5-1F-31-AA-04-31_GS2_DUIS5.0,70-B3-D5-1F-31-AA-04-31,5.0,UIT-B
ED,70-B3-D5-1F-31-AA-04-32_ED_DUIS5.0,70-B3-D5-1F-31-AA-04-32,5.0,UIT-B
GT,70-B3-D5-1F-31-AA-04-33_GT_DUIS5.0,70-B3-D5-1F-31-AA-04-33,5.0,UIT-B
RSA,70-B3-D5-1F-31-AA-04-34_RSA_DUIS5.0,70-B3-D5-1F-31-AA-04-34,5.0,UIT-B
OU,70-B3-D5-1F-31-AA-04-35_OU_DUIS5.0,70-B3-D5-1F-31-AA-04-35,5.0,UIT-B
IS1,70-B3-D5-1F-31-AA-04-36_IS1_DUIS5.1,70-B3-D5-1F-31-AA-04-36,5.1,UIT-B
IS2,70-B3-D5-1F-31-AA-04-37_IS2_DUIS5.1,70-B3-D5-1F-31-AA-04-37,5.1,UIT-B
ES,70-B3-D5-1F-31-AA-04-38_ES_DUIS5.1,70-B3-D5-1F-31-AA-04-38,5.1,UIT-B
GS1,70-B3-D5-1F-31-AA-04-39_GS1_DUIS5.1,70-B3-D5-1F-31-AA-04-39,5.1,UIT-B
GS2,70-B3-D5-1F-31-AA-04-40_GS2_DUIS5.1,70-B3-D5-1F-31-AA-04-40,5.1,UIT-B
ED,70-B3-D5-1F-31-AA-04-41_ED_DUIS5.1,70-B3-D5-1F-31-AA-04-41,5.1,UIT-B
GT,70-B3-D5-1F-31-AA-04-42_GT_DUIS5.1,70-B3-D5-1F-31-AA-04-42,5.1,UIT-B
